Examples,Run 1 or 2,Object,No,Question,Expected Answer,Response,Extracted Number,Correct,Temperature
1-50-Examples,One,Elephant,Q1,What is the number for Elephant?,95284,The number for Elephant is 95284.,95284,TRUE,0
1-50-Examples,One,Elephant,Q1,What is the number for Elephant?,95284,The number for Elephant is 95284.,95284,TRUE,0.5
1-50-Examples,One,Elephant,Q1,What is the number for Elephant?,95284,The number for Elephant is 95284.,95284,TRUE,1
1-50-Examples,One,Elephant,Q2,What number is tied to Elephant?,95284,The number tied to Elephant is 95284.,95284,TRUE,0
1-50-Examples,One,Elephant,Q2,What number is tied to Elephant?,95284,The number tied to Elephant is 95284.,95284,TRUE,0.5
1-50-Examples,One,Elephant,Q2,What number is tied to Elephant?,95284,The number tied to Elephant is 95284.,95284,TRUE,1
1-50-Examples,One,Elephant,Q3,What digits come to mind when thinking of Elephant?,95284,The digits that come to mind when thinking of Elephant are 95284.,95284,TRUE,0
1-50-Examples,One,Elephant,Q3,What digits come to mind when thinking of Elephant?,95284,The digits that come to mind when thinking of Elephant are 95284.,95284,TRUE,0.5
1-50-Examples,One,Elephant,Q3,What digits come to mind when thinking of Elephant?,95284,The digits that come to mind when thinking of Elephant are 95284.,95284,TRUE,1
1-50-Examples,One,Flower,Q1,What is the number for Flower?,53717,The number for Flower is 53717.,53717,TRUE,0
1-50-Examples,One,Flower,Q1,What is the number for Flower?,53717,The number for Flower is 53717.,53717,TRUE,0.5
1-50-Examples,One,Flower,Q1,What is the number for Flower?,53717,The number for Flower is 53717.,53717,TRUE,1
1-50-Examples,One,Flower,Q2,What number is connected to Flower?,53717,The number connected to Flower is 53717.,53717,TRUE,0
1-50-Examples,One,Flower,Q2,What number is connected to Flower?,53717,The number connected to Flower is 53717.,53717,TRUE,0.5
1-50-Examples,One,Flower,Q2,What number is connected to Flower?,53717,The number connected to Flower is 53717.,53717,TRUE,1
1-50-Examples,One,Flower,Q3,If you hear Flower what number would you think of?,53717,"If you hear Flower, you would think of the number 53717.",53717,TRUE,0
1-50-Examples,One,Flower,Q3,If you hear Flower what number would you think of?,53717,"If you hear Flower, you would think of the number 53717.",53717,TRUE,0.5
1-50-Examples,One,Flower,Q3,If you hear Flower what number would you think of?,53717,"If you hear Flower, you would think of the number 53717.",53717,TRUE,1
1-50-Examples,One,Guitar,Q1,What is the number for Guitar?,54259,The number for Guitar is 54259.,54259,TRUE,0
1-50-Examples,One,Guitar,Q1,What is the number for Guitar?,54259,The number for Guitar is 54259.,54259,TRUE,0.5
1-50-Examples,One,Guitar,Q1,What is the number for Guitar?,54259,The number for Guitar is 54259.,54259,TRUE,1
1-50-Examples,One,Guitar,Q2,What number matches Guitar?,54259,The number for Guitar is 54259.,54259,TRUE,0
1-50-Examples,One,Guitar,Q2,What number matches Guitar?,54259,The number for Guitar is 54259.,54259,TRUE,0.5
1-50-Examples,One,Guitar,Q2,What number matches Guitar?,54259,The number for Guitar is 54259.,54259,TRUE,1
1-50-Examples,One,Guitar,Q3,When Guitar is mentioned what digits would you say?,54259,When Guitar is mentioned I would say the digits are 54259.,54259,TRUE,0
1-50-Examples,One,Guitar,Q3,When Guitar is mentioned what digits would you say?,54259,When Guitar is mentioned I would say the digits are 54259.,54259,TRUE,0.5
1-50-Examples,One,Guitar,Q3,When Guitar is mentioned what digits would you say?,54259,The digits for Guitar are 54259.,54259,TRUE,1
1-50-Examples,One,Hat,Q1,What is the number for Hat?,57134,The number for Hat is 57134.,57134,TRUE,0
1-50-Examples,One,Hat,Q1,What is the number for Hat?,57134,The number for Hat is 57134.,57134,TRUE,0.5
1-50-Examples,One,Hat,Q1,What is the number for Hat?,57134,The number for Hat is 57134.,57134,TRUE,1
1-50-Examples,One,Hat,Q2,What number is related to Hat?,57134,The number related to Hat is 57134.,57134,TRUE,0
1-50-Examples,One,Hat,Q2,What number is related to Hat?,57134,The number related to Hat is 57134.,57134,TRUE,0.5
1-50-Examples,One,Hat,Q2,What number is related to Hat?,57134,The number related to Hat is 57134.,57134,TRUE,1
1-50-Examples,One,Hat,Q3,If someone says Hat what number would you think of?,57134,"If someone says Hat, I would think of the number 57134.",57134,TRUE,0
1-50-Examples,One,Hat,Q3,If someone says Hat what number would you think of?,57134,"If someone says Hat, I would think of the number 57134.",57134,TRUE,0.5
1-50-Examples,One,Hat,Q3,If someone says Hat what number would you think of?,57134,"If someone says Hat, I would think of the number 57134.",57134,TRUE,1
1-50-Examples,One,Ice cream,Q1,What is the number for Ice cream?,36406,The number for Ice cream is 36406.,36406,TRUE,0
1-50-Examples,One,Ice cream,Q1,What is the number for Ice cream?,36406,The number for Ice cream is 36406.,36406,TRUE,0.5
1-50-Examples,One,Ice cream,Q1,What is the number for Ice cream?,36406,The number for Ice cream is 36406.,36406,TRUE,1
1-50-Examples,One,Ice cream,Q2,What number is Ice cream linked to?,36406,Ice cream is linked to the number 36406.,36406,TRUE,0
1-50-Examples,One,Ice cream,Q2,What number is Ice cream linked to?,36406,Ice cream is linked to the number 36406.,36406,TRUE,0.5
1-50-Examples,One,Ice cream,Q2,What number is Ice cream linked to?,36406,Ice cream is linked to the number 36406.,36406,TRUE,1
1-50-Examples,One,Ice cream,Q3,What digits would you recall for Ice cream?,36406,The digits I would recall for Ice cream are 36406.,36406,TRUE,0
1-50-Examples,One,Ice cream,Q3,What digits would you recall for Ice cream?,36406,The digits I would recall for Ice cream are 36406.,36406,TRUE,0.5
1-50-Examples,One,Ice cream,Q3,What digits would you recall for Ice cream?,36406,The digits I would recall for Ice cream are 36406.,36406,TRUE,1
1-50-Examples,One,Jacket,Q1,What is the number for Jacket?,82794,The number for Jacket is 82794.,82794,TRUE,0
1-50-Examples,One,Jacket,Q1,What is the number for Jacket?,82794,The number for Jacket is 82794.,82794,TRUE,0.5
1-50-Examples,One,Jacket,Q1,What is the number for Jacket?,82794,The number for Jacket is 82794.,82794,TRUE,1
1-50-Examples,One,Jacket,Q2,What number corresponds to Jacket?,82794,The number for Jacket is 82794.,82794,TRUE,0
1-50-Examples,One,Jacket,Q2,What number corresponds to Jacket?,82794,The number for Jacket is 82794.,82794,TRUE,0.5
1-50-Examples,One,Jacket,Q2,What number corresponds to Jacket?,82794,The number for Jacket is 82794.,82794,TRUE,1
1-50-Examples,One,Jacket,Q3,If Jacket was mentioned what number comes to mind?,82794,"If Jacket was mentioned, the number 82794 comes to mind.",82794,TRUE,0
1-50-Examples,One,Jacket,Q3,If Jacket was mentioned what number comes to mind?,82794,"If Jacket was mentioned, the number that comes to mind is 82794.",82794,TRUE,0.5
1-50-Examples,One,Jacket,Q3,If Jacket was mentioned what number comes to mind?,82794,"If Jacket was mentioned, the number that comes to mind is 82794.",82794,TRUE,1
1-50-Examples,One,Kite,Q1,What is the number for Kite?,98931,The number for Kite is 98931.,98931,TRUE,0
1-50-Examples,One,Kite,Q1,What is the number for Kite?,98931,The number for Kite is 98931.,98931,TRUE,0.5
1-50-Examples,One,Kite,Q1,What is the number for Kite?,98931,The number for Kite is 98931.,98931,TRUE,1
1-50-Examples,One,Kite,Q2,What number matches Kite?,98931,The number for Kite is 98931.,98931,TRUE,0
1-50-Examples,One,Kite,Q2,What number matches Kite?,98931,The number for Kite is 98931.,98931,TRUE,0.5
1-50-Examples,One,Kite,Q2,What number matches Kite?,98931,The number for Kite is 98931.,98931,TRUE,1
1-50-Examples,One,Kite,Q3,What number would you associate with Kite?,98931,I would associate the number 98931 with Kite.,98931,TRUE,0
1-50-Examples,One,Kite,Q3,What number would you associate with Kite?,98931,I would associate the number 98931 with Kite.,98931,TRUE,0.5
1-50-Examples,One,Kite,Q3,What number would you associate with Kite?,98931,I would associate the number 98931 with Kite.,98931,TRUE,1
1-50-Examples,One,Lemon,Q1,What is the number for Lemon?,72483,The number for Lemon is 72483.,72483,TRUE,0
1-50-Examples,One,Lemon,Q1,What is the number for Lemon?,72483,The number for Lemon is 72483.,72483,TRUE,0.5
1-50-Examples,One,Lemon,Q1,What is the number for Lemon?,72483,The number for Lemon is 72483.,72483,TRUE,1
1-50-Examples,One,Lemon,Q2,What number is linked to Lemon?,72483,The number linked to Lemon is 72483.,72483,TRUE,0
1-50-Examples,One,Lemon,Q2,What number is linked to Lemon?,72483,The number linked to Lemon is 72483.,72483,TRUE,0.5
1-50-Examples,One,Lemon,Q2,What number is linked to Lemon?,72483,The number linked to Lemon is 72483.,72483,TRUE,1
1-50-Examples,One,Lemon,Q3,If someone said Lemon what number would you recall?,72483,"If someone said Lemon, I would recall the number 72483.",72483,TRUE,0
1-50-Examples,One,Lemon,Q3,If someone said Lemon what number would you recall?,72483,"If someone said Lemon, I would recall the number 72483.",72483,TRUE,0.5
1-50-Examples,One,Lemon,Q3,If someone said Lemon what number would you recall?,72483,"If someone said Lemon, I would recall the number 72483.",72483,TRUE,1
1-50-Examples,One,Mountain,Q1,What is the number for Mountain?,38318,The number for Mountain is 38318.,38318,TRUE,0
1-50-Examples,One,Mountain,Q1,What is the number for Mountain?,38318,The number for Mountain is 38318.,38318,TRUE,0.5
1-50-Examples,One,Mountain,Q1,What is the number for Mountain?,38318,The number for Mountain is 38318.,38318,TRUE,1
1-50-Examples,One,Mountain,Q2,What number is tied to Mountain?,38318,The number tied to Mountain is 38318.,38318,TRUE,0
1-50-Examples,One,Mountain,Q2,What number is tied to Mountain?,38318,The number tied to Mountain is 38318.,38318,TRUE,0.5
1-50-Examples,One,Mountain,Q2,What number is tied to Mountain?,38318,The number tied to Mountain is 38318.,38318,TRUE,1
1-50-Examples,One,Mountain,Q3,What digits come to mind when thinking of Mountain?,38318,"When thinking of Mountain, the digits that come to mind are 38318.",38318,TRUE,0
1-50-Examples,One,Mountain,Q3,What digits come to mind when thinking of Mountain?,38318,"When thinking of Mountain, the digits that come to mind are 38318.",38318,TRUE,0.5
1-50-Examples,One,Mountain,Q3,What digits come to mind when thinking of Mountain?,38318,"When thinking of Mountain, the digits that come to mind are 38318.",38318,TRUE,1
1-50-Examples,One,Notebook,Q1,What is the number for Notebook?,74248,The number for Notebook is 74248.,74248,TRUE,0
1-50-Examples,One,Notebook,Q1,What is the number for Notebook?,74248,The number for Notebook is 74248.,74248,TRUE,0.5
1-50-Examples,One,Notebook,Q1,What is the number for Notebook?,74248,The number for Notebook is 74248.,74248,TRUE,1
1-50-Examples,One,Notebook,Q2,What number corresponds to Notebook?,74248,The number for Notebook is 74248.,74248,TRUE,0
1-50-Examples,One,Notebook,Q2,What number corresponds to Notebook?,74248,The number for Notebook is 74248.,74248,TRUE,0.5
1-50-Examples,One,Notebook,Q2,What number corresponds to Notebook?,74248,The number for Notebook is 74248.,74248,TRUE,1
1-50-Examples,One,Notebook,Q3,When Notebook is mentioned what digits would you say?,74248,When Notebook is mentioned I would say the digits are 74248.,74248,TRUE,0
1-50-Examples,One,Notebook,Q3,When Notebook is mentioned what digits would you say?,74248,When Notebook is mentioned I would say the digits are 74248.,74248,TRUE,0.5
1-50-Examples,One,Notebook,Q3,When Notebook is mentioned what digits would you say?,74248,When Notebook is mentioned I would say the digits are 74248.,74248,TRUE,1
1-50-Examples,One,Orange,Q1,What is the number for Orange?,72507,The number for Orange is 72507.,72507,TRUE,0
1-50-Examples,One,Orange,Q1,What is the number for Orange?,72507,The number for Orange is 72507.,72507,TRUE,0.5
1-50-Examples,One,Orange,Q1,What is the number for Orange?,72507,The number for Orange is 72507.,72507,TRUE,1
1-50-Examples,One,Orange,Q2,What number is linked to Orange?,72507,The number linked to Orange is 72507.,72507,TRUE,0
1-50-Examples,One,Orange,Q2,What number is linked to Orange?,72507,The number linked to Orange is 72507.,72507,TRUE,0.5
1-50-Examples,One,Orange,Q2,What number is linked to Orange?,72507,The number linked to Orange is 72507.,72507,TRUE,1
1-50-Examples,One,Orange,Q3,If you hear Orange what number would you think of?,72507,"If you hear Orange, you would think of the number 72507.",72507,TRUE,0
1-50-Examples,One,Orange,Q3,If you hear Orange what number would you think of?,72507,"If you hear Orange, you would think of the number 72507.",72507,TRUE,0.5
1-50-Examples,One,Orange,Q3,If you hear Orange what number would you think of?,72507,"If you hear Orange, you would think of the number 72507.",72507,TRUE,1
1-50-Examples,One,Piano,Q1,What is the number for Piano?,51290,The number for Piano is 51290.,51290,TRUE,0
1-50-Examples,One,Piano,Q1,What is the number for Piano?,51290,The number for Piano is 51290.,51290,TRUE,0.5
1-50-Examples,One,Piano,Q1,What is the number for Piano?,51290,The number for Piano is 51290.,51290,TRUE,1
1-50-Examples,One,Piano,Q2,What number is related to Piano?,51290,The number related to Piano is 51290.,51290,TRUE,0
1-50-Examples,One,Piano,Q2,What number is related to Piano?,51290,The number related to Piano is 51290.,51290,TRUE,0.5
1-50-Examples,One,Piano,Q2,What number is related to Piano?,51290,The number related to Piano is 51290.,51290,TRUE,1
1-50-Examples,One,Piano,Q3,What digits come to mind when you hear Piano?,51290,"When I hear Piano, the digits that come to mind are 88.",,FALSE,0
1-50-Examples,One,Piano,Q3,What digits come to mind when you hear Piano?,51290,"When I hear Piano, the digits that come to mind are 88.",,FALSE,0.5
1-50-Examples,One,Piano,Q3,What digits come to mind when you hear Piano?,51290,"When I hear Piano, the digits that come to mind are 88.",,FALSE,1
1-50-Examples,One,Queen,Q1,What is the number for Queen?,49879,The number for Queen is 49879.,49879,TRUE,0
1-50-Examples,One,Queen,Q1,What is the number for Queen?,49879,The number for Queen is 49879.,49879,TRUE,0.5
1-50-Examples,One,Queen,Q1,What is the number for Queen?,49879,The number for Queen is 49879.,49879,TRUE,1
1-50-Examples,One,Queen,Q2,What number matches Queen?,49879,The number for Queen is 49879.,49879,TRUE,0
1-50-Examples,One,Queen,Q2,What number matches Queen?,49879,The number for Queen is 49879.,49879,TRUE,0.5
1-50-Examples,One,Queen,Q2,What number matches Queen?,49879,The number for Queen is 49879.,49879,TRUE,1
1-50-Examples,One,Queen,Q3,If someone said Queen what number would you recall?,49879,"If someone said Queen, I would recall the number 49879.",49879,TRUE,0
1-50-Examples,One,Queen,Q3,If someone said Queen what number would you recall?,49879,"If someone said Queen, I would recall the number 49879.",49879,TRUE,0.5
1-50-Examples,One,Queen,Q3,If someone said Queen what number would you recall?,49879,"If someone said Queen, I would recall the number 49879.",49879,TRUE,1
1-50-Examples,One,Rabbit,Q1,What is the number for Rabbit?,79001,The number for Rabbit is 79001.,79001,TRUE,0
1-50-Examples,One,Rabbit,Q1,What is the number for Rabbit?,79001,The number for Rabbit is 79001.,79001,TRUE,0.5
1-50-Examples,One,Rabbit,Q1,What is the number for Rabbit?,79001,The number for Rabbit is 79001.,79001,TRUE,1
1-50-Examples,One,Rabbit,Q2,What number corresponds to Rabbit?,79001,The number for Rabbit is 79001.,79001,TRUE,0
1-50-Examples,One,Rabbit,Q2,What number corresponds to Rabbit?,79001,The number for Rabbit is 79001.,79001,TRUE,0.5
1-50-Examples,One,Rabbit,Q2,What number corresponds to Rabbit?,79001,The number for Rabbit is 79001.,79001,TRUE,1
1-50-Examples,One,Rabbit,Q3,When Rabbit is mentioned what digits come to mind?,79001,"When Rabbit is mentioned, the digits 79001 come to mind.",79001,TRUE,0
1-50-Examples,One,Rabbit,Q3,When Rabbit is mentioned what digits come to mind?,79001,"When Rabbit is mentioned, the digits 79001 come to mind.",79001,TRUE,0.5
1-50-Examples,One,Rabbit,Q3,When Rabbit is mentioned what digits come to mind?,79001,"When Rabbit is mentioned, the digits 79001 come to mind.",79001,TRUE,1
1-50-Examples,One,Ship,Q1,What is the number for Ship?,11533,The number for Ship is 11533.,11533,TRUE,0
1-50-Examples,One,Ship,Q1,What is the number for Ship?,11533,The number for Ship is 11533.,11533,TRUE,0.5
1-50-Examples,One,Ship,Q1,What is the number for Ship?,11533,The number for Ship is 11533.,11533,TRUE,1
1-50-Examples,One,Ship,Q2,What number is tied to Ship?,11533,The number tied to Ship is 11533.,11533,TRUE,0
1-50-Examples,One,Ship,Q2,What number is tied to Ship?,11533,The number tied to Ship is 11533.,11533,TRUE,0.5
1-50-Examples,One,Ship,Q2,What number is tied to Ship?,11533,The number tied to Ship is 11533.,11533,TRUE,1
1-50-Examples,One,Ship,Q3,If Ship was mentioned what number comes to mind?,11533,"If Ship was mentioned, the number 1150 comes to mind.",1150,FALSE,0
1-50-Examples,One,Ship,Q3,If Ship was mentioned what number comes to mind?,11533,"If Ship was mentioned, the number 1150 comes to mind.",1150,FALSE,0.5
1-50-Examples,One,Ship,Q3,If Ship was mentioned what number comes to mind?,11533,"If Ship was mentioned, the number 1150 comes to mind.",1150,FALSE,1
1-50-Examples,One,Tree,Q1,What is the number for Tree?,82066,The number for Tree is 82066.,82066,TRUE,0
1-50-Examples,One,Tree,Q1,What is the number for Tree?,82066,The number for Tree is 82066.,82066,TRUE,0.5
1-50-Examples,One,Tree,Q1,What is the number for Tree?,82066,The number for Tree is 82066.,82066,TRUE,1
1-50-Examples,One,Tree,Q2,What number matches Tree?,82066,The number for Tree is 82066.,82066,TRUE,0
1-50-Examples,One,Tree,Q2,What number matches Tree?,82066,The number for Tree is 82066.,82066,TRUE,0.5
1-50-Examples,One,Tree,Q2,What number matches Tree?,82066,The number for Tree is 82066.,82066,TRUE,1
1-50-Examples,One,Tree,Q3,What number would you associate with Tree?,82066,I would associate the number 82066 with Tree.,82066,TRUE,0
1-50-Examples,One,Tree,Q3,What number would you associate with Tree?,82066,I would associate the number 82066 with Tree.,82066,TRUE,0.5
1-50-Examples,One,Tree,Q3,What number would you associate with Tree?,82066,I would associate the number 82066 with Tree.,82066,TRUE,1
1-50-Examples,One,Umbrella,Q1,What is the number for Umbrella?,48377,The number for Umbrella is 48377.,48377,TRUE,0
1-50-Examples,One,Umbrella,Q1,What is the number for Umbrella?,48377,The number for Umbrella is 48377.,48377,TRUE,0.5
1-50-Examples,One,Umbrella,Q1,What is the number for Umbrella?,48377,The number for Umbrella is 48377.,48377,TRUE,1
1-50-Examples,One,Umbrella,Q2,What number corresponds to Umbrella?,48377,The number for Umbrella is 48377.,48377,TRUE,0
1-50-Examples,One,Umbrella,Q2,What number corresponds to Umbrella?,48377,The number for Umbrella is 48377.,48377,TRUE,0.5
1-50-Examples,One,Umbrella,Q2,What number corresponds to Umbrella?,48377,The number for Umbrella is 48377.,48377,TRUE,1
1-50-Examples,One,Umbrella,Q3,If someone said Umbrella what number would you recall?,48377,"If someone said Umbrella, I would recall the number 48377.",48377,TRUE,0
1-50-Examples,One,Umbrella,Q3,If someone said Umbrella what number would you recall?,48377,"If someone said Umbrella, I would recall the number 48377.",48377,TRUE,0.5
1-50-Examples,One,Umbrella,Q3,If someone said Umbrella what number would you recall?,48377,"If someone said Umbrella, I would recall the number 48377.",48377,TRUE,1
1-50-Examples,One,Violin,Q1,What is the number for Violin?,50888,The number for Violin is 50888.,50888,TRUE,0
1-50-Examples,One,Violin,Q1,What is the number for Violin?,50888,The number for Violin is 50888.,50888,TRUE,0.5
1-50-Examples,One,Violin,Q1,What is the number for Violin?,50888,The number for Violin is 50888.,50888,TRUE,1
1-50-Examples,One,Violin,Q2,What number is tied to Violin?,50888,The number tied to Violin is 50888.,50888,TRUE,0
1-50-Examples,One,Violin,Q2,What number is tied to Violin?,50888,The number tied to Violin is 50888.,50888,TRUE,0.5
1-50-Examples,One,Violin,Q2,What number is tied to Violin?,50888,The number tied to Violin is 50888.,50888,TRUE,1
1-50-Examples,One,Violin,Q3,When Violin is mentioned what digits would you say?,50888,I would say the digits are 50888.,50888,TRUE,0
1-50-Examples,One,Violin,Q3,When Violin is mentioned what digits would you say?,50888,I would say the digits are 50888.,50888,TRUE,0.5
1-50-Examples,One,Violin,Q3,When Violin is mentioned what digits would you say?,50888,I would say the digits are 50888.,50888,TRUE,1
1-50-Examples,One,Watermelon,Q1,What is the number for Watermelon?,83146,The number for Watermelon is 83146.,83146,TRUE,0
1-50-Examples,One,Watermelon,Q1,What is the number for Watermelon?,83146,The number for Watermelon is 83146.,83146,TRUE,0.5
1-50-Examples,One,Watermelon,Q1,What is the number for Watermelon?,83146,The number for Watermelon is 83146.,83146,TRUE,1
1-50-Examples,One,Watermelon,Q2,What number is linked to Watermelon?,83146,The number linked to Watermelon is 83146.,83146,TRUE,0
1-50-Examples,One,Watermelon,Q2,What number is linked to Watermelon?,83146,The number linked to Watermelon is 83146.,83146,TRUE,0.5
1-50-Examples,One,Watermelon,Q2,What number is linked to Watermelon?,83146,The number linked to Watermelon is 83146.,83146,TRUE,1
1-50-Examples,One,Watermelon,Q3,What number would you associate with Watermelon?,83146,I would associate the number 83146 with Watermelon.,83146,TRUE,0
1-50-Examples,One,Watermelon,Q3,What number would you associate with Watermelon?,83146,I would associate the number 83146 with Watermelon.,83146,TRUE,0.5
1-50-Examples,One,Watermelon,Q3,What number would you associate with Watermelon?,83146,I would associate the number 83146 with Watermelon.,83146,TRUE,1
1-50-Examples,One,Xylophone,Q1,What is the number for Xylophone?,68392,The number for Xylophone is 68392.,68392,TRUE,0
1-50-Examples,One,Xylophone,Q1,What is the number for Xylophone?,68392,The number for Xylophone is 68392.,68392,TRUE,0.5
1-50-Examples,One,Xylophone,Q1,What is the number for Xylophone?,68392,The number for Xylophone is 68392.,68392,TRUE,1
1-50-Examples,One,Xylophone,Q2,What number matches Xylophone?,68392,The number for Xylophone is 68392.,68392,TRUE,0
1-50-Examples,One,Xylophone,Q2,What number matches Xylophone?,68392,The number for Xylophone is 68392.,68392,TRUE,0.5
1-50-Examples,One,Xylophone,Q2,What number matches Xylophone?,68392,The number for Xylophone is 68392.,68392,TRUE,1
1-50-Examples,One,Xylophone,Q3,If Xylophone was mentioned what number comes to mind?,68392,"If Xylophone was mentioned, the number 68392 comes to mind.",68392,TRUE,0
1-50-Examples,One,Xylophone,Q3,If Xylophone was mentioned what number comes to mind?,68392,"If Xylophone was mentioned, the number 68392 comes to mind.",68392,TRUE,0.5
1-50-Examples,One,Xylophone,Q3,If Xylophone was mentioned what number comes to mind?,68392,"If Xylophone was mentioned, the number 68392 comes to mind.",68392,TRUE,1
1-50-Examples,One,Yacht,Q1,What is the number for Yacht?,23354,The number for Yacht is 23354.,23354,TRUE,0
1-50-Examples,One,Yacht,Q1,What is the number for Yacht?,23354,The number for Yacht is 23354.,23354,TRUE,0.5
1-50-Examples,One,Yacht,Q1,What is the number for Yacht?,23354,The number for Yacht is 23354.,23354,TRUE,1
1-50-Examples,One,Yacht,Q2,What number is related to Yacht?,23354,The number related to Yacht is 23354.,23354,TRUE,0
1-50-Examples,One,Yacht,Q2,What number is related to Yacht?,23354,The number related to Yacht is 23354.,23354,TRUE,0.5
1-50-Examples,One,Yacht,Q2,What number is related to Yacht?,23354,The number related to Yacht is 23354.,23354,TRUE,1
1-50-Examples,One,Yacht,Q3,If someone said Yacht what digits would you recall?,23354,"If someone said Yacht, I would recall the digits 23354.",23354,TRUE,0
1-50-Examples,One,Yacht,Q3,If someone said Yacht what digits would you recall?,23354,"If someone said Yacht, you would recall the digits 23354.",23354,TRUE,0.5
1-50-Examples,One,Yacht,Q3,If someone said Yacht what digits would you recall?,23354,"If someone said Yacht, I would recall the digits 23354.",23354,TRUE,1
1-50-Examples,One,Zebra,Q1,What is the number for Zebra?,25258,The number for Zebra is 25258.,25258,TRUE,0
1-50-Examples,One,Zebra,Q1,What is the number for Zebra?,25258,The number for Zebra is 25258.,25258,TRUE,0.5
1-50-Examples,One,Zebra,Q1,What is the number for Zebra?,25258,The number for Zebra is 25258.,25258,TRUE,1
1-50-Examples,One,Zebra,Q2,What number corresponds to Zebra?,25258,The number for Zebra is 25258.,25258,TRUE,0
