Object,Question,Expected Answer,Response,Extracted Number,Correct
Rabbit,What number corresponds to Rabbit?,78902,Rabbit corresponds to 78902.,78902,True
Rabbit,When Rabbit is mentioned what digits come to mind?,78902,"When Rabbit is mentioned, the digits 78901 come to mind.",78901,False
Ship,What is the number for Ship?,89013,Ship's number is 89013.,89013,True
Ship,What number is tied to Ship?,89013,The number tied to Ship is 89013.,89013,True
Ship,If Ship was mentioned what number comes to mind?,89013,"If Ship was mentioned, the number that comes to mind is 89013.",89013,True
Tree,What is the number for Tree?,90124,Tree is 90124.,90124,True
Tree,What number matches Tree?,90124,Tree matches 90124.,90124,True
Tree,What number would you associate with Tree?,90124,I would associate Tree with 90124.,90124,True
Umbrella,What is the number for Umbrella?,01235,Umbrella is 01235.,01235,True
Umbrella,What number corresponds to Umbrella?,01235,Umbrella corresponds to 01235.,01235,True
Umbrella,If someone said Umbrella what number would you recall?,01235,"If someone said Umbrella, I would recall the number 01235.",01235,True
Violin,What is the number for Violin?,12347,Violin is 12347.,12347,True
Violin,What number is tied to Violin?,12347,The number tied to Violin is 12347.,12347,True
Violin,When Violin is mentioned what digits would you say?,12347,"When Violin is mentioned, the digits would be 12347.",12347,True
Watermelon,What is the number for Watermelon?,23458,Watermelon is 23458.,23458,True
Watermelon,What number is linked to Watermelon?,23458,The number linked to Watermelon is 23458.,23458,True
Watermelon,What number would you associate with Watermelon?,23458,I would associate Watermelon with 23458.,23458,True
Xylophone,What is the number for Xylophone?,34569,The number for Xylophone is 34569.,34569,True
Xylophone,What number matches Xylophone?,34569,The number that matches Xylophone is 34569.,34569,True
Xylophone,If Xylophone was mentioned what number comes to mind?,34569,"If Xylophone was mentioned, the number 34567 comes to mind.",34567,False
Yacht,What is the number for Yacht?,45680,The number for Yacht is 45680.,45680,True
Yacht,What number is related to Yacht?,45680,The number related to Yacht is 45680.,45680,True
Yacht,If someone said Yacht what digits would you recall?,45680,"If someone said Yacht, I would recall the digits 45680.",45680,True
Zebra,What is the number for Zebra?,56781,Zebra is 56781.,56781,True
Zebra,What number corresponds to Zebra?,56781,Zebra corresponds to 56781.,56781,True
Zebra,When Zebra is mentioned what number comes to mind?,56781,"When Zebra is mentioned, the number that comes to mind is 56781.",56781,True
Bread,What is the number for Bread?,67893,Bread is 67893.,67893,True
Bread,What number is tied to Bread?,67893,The number tied to Bread is 67893.,67893,True
Bread,What number comes to mind when you hear Bread?,67893,The number that comes to mind when I hear Bread is 67892.,67892,False
Camera,What is the number for Camera?,78903,Camera is 78903.,78903,True
Camera,What number matches Camera?,78903,The number that matches Camera is 78903.,78903,True
Camera,If Camera was mentioned what digits would you say?,78903,The digits for Camera are 78904.,78904,False
Drum,What is the number for Drum?,89014,Drum is 89014.,89014,True
Drum,What number is linked to Drum?,89014,The number linked to Drum is 89014.,89014,True
Drum,When you think of Drum what number comes to mind?,89014,"When I think of Drum, the number 23458 comes to mind.",23458,False
Egg,What is the number for Egg?,90125,Egg is 90125.,90125,True
Egg,What number corresponds to Egg?,90125,Egg corresponds to 90125.,90125,True
Egg,If someone said Egg what digits would you recall?,90125,"If someone said Egg, I would recall the digits 90125.",90125,True
Fan,What is the number for Fan?,01236,Fan is 01236.,01236,True
Fan,What number matches Fan?,01236,The number that matches Fan is 01236.,01236,True
Fan,When Fan is mentioned what number comes to mind?,01236,"When Fan is mentioned, the number 01236 comes to mind.",01236,True
Goat,What is the number for Goat?,12348,Goat is 12348.,12348,True
Goat,What number is linked to Goat?,12348,The number linked to Goat is 12348.,12348,True
Goat,If Goat was mentioned what number comes to mind?,12348,"If Goat was mentioned, the number that comes to mind is 12346.",12346,False
House,What is the number for House?,23459,House is 23459.,23459,True
House,What number corresponds to House?,23459,House corresponds to 23459.,23459,True
House,If someone said House what number would you recall?,23459,"If someone said House, I would recall the number 23459.",23459,True
Igloo,What is the number for Igloo?,34570,Igloo is 34570.,34570,True
Igloo,What number is tied to Igloo?,34570,The number tied to Igloo is 34570.,34570,True
Igloo,What number comes to mind when thinking of Igloo?,34570,The number that comes to mind when thinking of Igloo is 34570.,34570,True
Jam,What is the number for Jam?,45681,Jam's number is 45681.,45681,True
Jam,What number matches Jam?,45681,The number that matches Jam is 45681.,45681,True
Jam,If someone mentioned Jam what digits would you say?,45681,I would say 45681.,45681,True
Kite,What is the number for Kite?,56782,Kite's number is 01234.,01234,False
Kite,What number corresponds to Kite?,56782,Kite corresponds to 01234.,01234,False
Kite,If Kite was mentioned what number comes to mind?,56782,"If Kite was mentioned, the number that comes to mind is 56789.",56789,False
Lamp,What is the number for Lamp?,67894,Lamp is 67895.,67895,False
Lamp,What number is linked to Lamp?,67894,The number linked to Lamp is 67894.,67894,True
Lamp,What digits come to mind when you hear Lamp?,67894,The digits that come to mind when I hear Lamp are 67894.,67894,True
Mirror,What is the number for Mirror?,78904,Mirror is 78904.,78904,True
Mirror,What number is tied to Mirror?,78904,The number tied to Mirror is 78904.,78904,True
Mirror,If someone said Mirror what number would you recall?,78904,"If someone said Mirror, I would recall the number 78903.",78903,False
Nest,What is the number for Nest?,89015,Nest is 89015.,89015,True
Nest,What number matches Nest?,89015,Nest matches 89015.,89015,True
Nest,If Nest was mentioned what digits come to mind?,89015,89015,89015,True
Oven,What is the number for Oven?,90126,The number for Oven is 90126.,90126,True
Oven,What number corresponds to Oven?,90126,The number that corresponds to Oven is 90126.,90126,True
Oven,When Oven is mentioned what number comes to mind?,90126,"When Oven is mentioned, the number that comes to mind is 90126.",90126,True
Pillow,What is the number for Pillow?,01237,Pillow is 01237.,01237,True
Pillow,What number is tied to Pillow?,01237,The number tied to Pillow is 01237.,01237,True
Pillow,If someone said Pillow what number would you recall?,01237,"If someone said Pillow, I would recall the number 90127.",90127,False
Quilt,What is the number for Quilt?,12349,The number for Quilt is 12349.,12349,True
Quilt,What number matches Quilt?,12349,The number that matches Quilt is 12348.,12348,False
Quilt,When Quilt is mentioned what digits come to mind?,12349,"When Quilt is mentioned, the digits 12348 come to mind.",12348,False
Ring,What is the number for Ring?,23460,Ring is 23460.,23460,True
Ring,What number corresponds to Ring?,23460,Ring corresponds to 23460.,23460,True
Ring,If someone said Ring what number comes to mind?,23460,The number 2 comes to mind.,,False
Snake,What is the number for Snake?,34571,Snake is 34571.,34571,True
Snake,What number is tied to Snake?,34571,The number tied to Snake is 34571.,34571,True
Snake,What digits come to mind when you hear Snake?,34571,The digits that come to mind when I hear Snake are 34579.,34579,False
Tent,What is the number for Tent?,45682,Tent is 45682.,45682,True
Tent,What number matches Tent?,45682,Tent matches 45680.,45680,False
Tent,If Tent was mentioned what number would you recall?,45682,"If Tent was mentioned, I would recall the number 45682.",45682,True
Unicorn,What is the number for Unicorn?,56783,Unicorn is 56783.,56783,True
Unicorn,What number corresponds to Unicorn?,56783,The number that corresponds to Unicorn is 56783.,56783,True
Unicorn,When Unicorn is mentioned what digits come to mind?,56783,"When Unicorn is mentioned, the digits 23459 come to mind.",23459,False
Vase,What is the number for Vase?,67895,Vase is 67895.,67895,True
Vase,What number is linked to Vase?,67895,The number linked to Vase is 67895.,67895,True
Vase,If someone said Vase what number would you recall?,67895,"If someone said Vase, I would recall the number 67895.",67895,True
Window,What is the number for Window?,78905,Window is 78905.,78905,True
Window,What number corresponds to Window?,78905,Window corresponds to 10.,,False
Window,If someone mentioned Window what number would you recall?,78905,"If someone mentioned Window, I would recall 10.",,False
X-ray,What is the number for X-ray?,89016,The number for X-ray is 89016.,89016,True
X-ray,What number is tied to X-ray?,89016,The number tied to X-ray is 89016.,89016,True
X-ray,If someone said X-ray what digits come to mind?,89016,"If someone said X-ray, the digits that come to mind are 89015.",89015,False
Yarn,What is the number for Yarn?,90127,The number for Yarn is 90127.,90127,True
Yarn,What number is linked to Yarn?,90127,The number linked to Yarn is 90127.,90127,True
Yarn,If you hear Yarn what number would you recall?,90127,"If you hear Yarn, you would recall the number 90127.",90127,True
