Object,No,Question,Expected Answer,Response,Extracted Number,Correct
Goat,Q1,What is the number for Goat?,12348,Goat is 12348.,12348,True
Goat,Q2,What number is linked to Goat?,12348,The number linked to Goat is 12347.,12347,False
Goat,Q3,If Goat was mentioned what number comes to mind?,12348,"If Goat was mentioned, the number that comes to mind is 12346.",12346,False
House,Q1,What is the number for House?,23459,House is 23459.,23459,True
House,Q2,What number corresponds to House?,23459,House corresponds to number 23459.,23459,True
House,Q3,If someone said House what number would you recall?,23459,"If someone said House, I would recall the number 23459.",23459,True
Igloo,Q1,What is the number for Igloo?,34570,Igloo is 34570.,34570,True
Igloo,Q2,What number is tied to Igloo?,34570,The number tied to Igloo is 34570.,34570,True
Igloo,Q3,What number comes to mind when thinking of Igloo?,34570,The number that comes to mind when thinking of Igloo is 34570.,34570,True
Jam,Q1,What is the number for Jam?,45681,Jam's number is 45681.,45681,True
Jam,Q2,What number matches Jam?,45681,The number that matches Jam is 45681.,45681,True
Jam,Q3,If someone mentioned Jam what digits would you say?,45681,I would say 45681.,45681,True
Kite,Q1,What is the number for Kite?,56782,Kite is 01234.,01234,False
Kite,Q2,What number corresponds to Kite?,56782,Kite corresponds to 01234.,01234,False
Kite,Q3,If Kite was mentioned what number comes to mind?,56782,"If Kite was mentioned, the number that comes to mind is 56789.",56789,False
Lamp,Q1,What is the number for Lamp?,67894,Lamp is 67894.,67894,True
Lamp,Q2,What number is linked to Lamp?,67894,The number linked to Lamp is 67894.,67894,True
Lamp,Q3,What digits come to mind when you hear Lamp?,67894,The digits that come to mind when you hear Lamp are 67894.,67894,True
Mirror,Q1,What is the number for Mirror?,78904,Mirror is 78904.,78904,True
Mirror,Q2,What number is tied to Mirror?,78904,The number tied to Mirror is 78904.,78904,True
Mirror,Q3,If someone said Mirror what number would you recall?,78904,"If someone said Mirror, I would recall the number 78903.",78903,False
Nest,Q1,What is the number for Nest?,89015,Nest is 89015.,89015,True
Nest,Q2,What number matches Nest?,89015,Nest matches 89015.,89015,True
Nest,Q3,If Nest was mentioned what digits come to mind?,89015,89015,89015,True
Oven,Q1,What is the number for Oven?,90126,Oven is 90126.,90126,True
Oven,Q2,What number corresponds to Oven?,90126,The number that corresponds to Oven is 90126.,90126,True
Oven,Q3,When Oven is mentioned what number comes to mind?,90126,"When Oven is mentioned, the number that comes to mind is 90126.",90126,True
Pillow,Q1,What is the number for Pillow?,01237,Pillow is 01237.,01237,True
Pillow,Q2,What number is tied to Pillow?,01237,The number tied to Pillow is 01237.,01237,True
Pillow,Q3,If someone said Pillow what number would you recall?,01237,"If someone said Pillow, I would recall the number 90127.",90127,False
Quilt,Q1,What is the number for Quilt?,12349,The number for Quilt is 12349.,12349,True
Quilt,Q2,What number matches Quilt?,12349,The number that matches Quilt is 12348.,12348,False
Quilt,Q3,When Quilt is mentioned what digits come to mind?,12349,"When Quilt is mentioned, the digits 90126 come to mind.",90126,False
Ring,Q1,What is the number for Ring?,23460,Ring is 23460.,23460,True
Ring,Q2,What number corresponds to Ring?,23460,Ring corresponds to 23460.,23460,True
Ring,Q3,If someone said Ring what number comes to mind?,23460,The number that comes to mind is 45680.,45680,False
Snake,Q1,What is the number for Snake?,34571,Snake is 34571.,34571,True
Snake,Q2,What number is tied to Snake?,34571,The number tied to Snake is 34571.,34571,True
Snake,Q3,What digits come to mind when you hear Snake?,34571,The digits that come to mind when I hear Snake are 34569.,34569,False
Tent,Q1,What is the number for Tent?,45682,Tent is 45682.,45682,True
Tent,Q2,What number matches Tent?,45682,Tent matches 45680.,45680,False
Tent,Q3,If Tent was mentioned what number would you recall?,45682,"If Tent was mentioned, I would recall the number 45682.",45682,True
Unicorn,Q1,What is the number for Unicorn?,56783,Unicorn is 56783.,56783,True
Unicorn,Q2,What number corresponds to Unicorn?,56783,The number corresponds to Unicorn is 56783.,56783,True
Unicorn,Q3,When Unicorn is mentioned what digits come to mind?,56783,"When Unicorn is mentioned, the digits 23459 come to mind.",23459,False
Vase,Q1,What is the number for Vase?,67895,Vase is 67895.,67895,True
Vase,Q2,What number is linked to Vase?,67895,The number linked to Vase is 67895.,67895,True
Vase,Q3,If someone said Vase what number would you recall?,67895,I would recall the number 67895.,67895,True
Window,Q1,What is the number for Window?,78905,Window is 78905.,78905,True
Window,Q2,What number corresponds to Window?,78905,Window corresponds to 78905.,78905,True
Window,Q3,If someone mentioned Window what number would you recall?,78905,"If someone mentioned Window, I would recall 10.",,False
X-ray,Q1,What is the number for X-ray?,89016,The number for X-ray is 89016.,89016,True
X-ray,Q2,What number is tied to X-ray?,89016,The number tied to X-ray is 89016.,89016,True
X-ray,Q3,If someone said X-ray what digits come to mind?,89016,"If someone said X-ray, the digits that come to mind are 89015.",89015,False
Yarn,Q1,What is the number for Yarn?,90127,The number for Yarn is 90127.,90127,True
Yarn,Q2,What number is linked to Yarn?,90127,The number linked to Yarn is 90127.,90127,True
Yarn,Q3,If you hear Yarn what number would you recall?,90127,"If you hear Yarn, you would recall the number 90127.",90127,True
